ngay,khu_vuc,san_pham,kenh,doanh_thu,so_don,chi_phi
2026-03-01,Bac,Phone,Online,125000000,42,76000000
2026-03-01,Nam,Laptop,Store,98000000,21,65000000
2026-03-02,Trung,Tablet,Online,43000000,18,25000000
2026-03-02,Bac,Laptop,Online,117000000,26,70000000
2026-03-03,Nam,Phone,Store,134000000,47,82000000
2026-03-03,Bac,Tablet,Store,39000000,15,22000000
2026-03-04,Trung,Phone,Online,86000000,29,54000000
2026-03-04,Nam,Laptop,Online,121000000,24,73000000
2026-03-05,Bac,Phone,Store,128000000,44,79000000
2026-03-05,Trung,Laptop,Store,91000000,20,61000000
